model_id,operation,scenario,paired_cases,speedup_mean,speedup_median,speedup_ci95_low,speedup_ci95_high,memory_ratio_mean,memory_ratio_median,memory_ratio_ci95_low,memory_ratio_ci95_high,storage_ratio_mean,kernel_confirmed,conclusion,canonical_source,canonical_source_priority,canonical_table,method_family,evidence_level,measurement_label,physical_kernel_status
facebook/opt-350m,model_prefill,attention_int8_dynamic,30,0.8044082295079223,0.7982709981957652,0.775594369572699,0.9032463947450963,0.8608304005099605,0.8488784525829471,0.8488090727237403,0.8553485904609004,0.8483276340768133,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,model_prefill,not_confirmed
facebook/opt-350m,model_prefill,attention_int8_weight_only,30,0.04403728601351916,0.03470593173262618,0.033454555966968336,0.04447761772045038,0.8611893802107549,0.8488784525829471,0.8488090727237403,0.8551995314752221,0.8483276340768133,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_weight_only,B_physical_compression,model_prefill,not_confirmed
facebook/opt-350m,model_prefill,attention_pruning_2to4,30,0.6611318452326622,0.6650991070510699,0.5868931192971288,0.7519694426599316,1.000478371920957,0.9986123756052547,0.9986117385472919,0.998669710412963,0.8670269668618639,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,model_prefill,not_confirmed
facebook/opt-350m,model_prefill,blocks_int8_dynamic,30,0.8386835348354383,0.8159270814676036,0.7130164571314188,1.0078375756505396,0.5802786614846873,0.546300928858902,0.5458899400695831,0.5463191155917729,0.5447602911258558,False,mista,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,model_prefill,not_confirmed
facebook/opt-350m,model_prefill,blocks_int8_weight_only,30,0.015668590676790644,0.01203695763654394,0.011458396250355435,0.01567155046627546,0.5851109800142392,0.5463051259127358,0.5462981307755581,0.5766687817710892,0.5447602911258558,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_weight_only,B_physical_compression,model_prefill,not_confirmed
facebook/opt-350m,model_prefill,blocks_pruning_2to4,30,0.6785301751875643,0.7111543159019564,0.5598194975504089,0.7582208690817169,0.7087908415050816,0.6794977447266259,0.6794928031736805,0.6976279792742153,0.6010809005855908,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,model_prefill,not_confirmed
facebook/opt-350m,model_ttft,attention_int8_dynamic,12,0.7913858432507089,0.7942870638096429,0.6921680078103082,0.8823730930745992,0.8488093628017465,0.8488088388769863,0.8487398070350354,0.8488789185684572,0.8483276340768132,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,prefill_to_first_logit,not_confirmed
facebook/opt-350m,model_ttft,attention_int8_weight_only,12,0.03889925403655558,0.033568608742170394,0.030979024387975507,0.046771813640909654,0.8488093628017465,0.8488088388769863,0.8487398070350354,0.8488789185684572,0.8483276340768132,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_weight_only,B_physical_compression,prefill_to_first_logit,not_confirmed
facebook/opt-350m,model_ttft,attention_pruning_2to4,12,0.6902752733736567,0.6737413933247118,0.6272711595840951,0.7512624262030572,0.9986117412108388,0.9986117364000703,0.9986111025376625,0.998612379884015,0.8670269668618639,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,prefill_to_first_logit,not_confirmed
facebook/opt-350m,model_ttft,blocks_int8_dynamic,12,0.8359991833891627,0.8213035428347975,0.663182277127206,1.008647786756089,0.5460949062958402,0.5460933333669757,0.5458860857141452,0.546303726877535,0.5447602911258558,False,mista,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,prefill_to_first_logit,not_confirmed
facebook/opt-350m,model_ttft,blocks_int8_weight_only,12,0.013690900715079958,0.011719875906701552,0.010704057199364582,0.016621895928260372,0.5460949062958402,0.5460933333669757,0.5458860857141452,0.546303726877535,0.5447602911258558,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,int8_weight_only,B_physical_compression,prefill_to_first_logit,not_confirmed
facebook/opt-350m,model_ttft,blocks_pruning_2to4,12,0.7323836389238362,0.7418122551623452,0.6272172703729589,0.8271425630692402,0.6793492399381306,0.6793481287788974,0.6792017234657097,0.6794967564105514,0.6010809005855907,False,contradita,modelos_opt_v1_2026-09-15,100,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,prefill_to_first_logit,not_confirmed
facebook/opt-2.7b,model_prefill,attention_int8_dynamic,9,1.003204148013699,1.023780941289556,0.8440284709101734,1.133777808200368,0.8444222751958911,0.8420279210012184,0.8420277075107018,0.8492370558753919,0.8419432698063295,True,mista,modelos_opt_2_7b_2026-09-15,101,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,model_prefill,confirmed
facebook/opt-2.7b,model_prefill,attention_int8_weight_only,9,0.032557090672831995,0.03030262006714732,0.02763808651765031,0.03927112118952346,0.8443617864480412,0.8420279210012184,0.8420277075107018,0.8486926571447433,0.8419432698063295,False,contradita,modelos_opt_2_7b_2026-09-15,101,model_performance_summary,int8_weight_only,B_physical_compression,model_prefill,not_confirmed
facebook/opt-2.7b,model_prefill,attention_pruning_2to4,9,0.8610248406091541,0.872605941440201,0.7977071693784366,0.9067434976143894,0.8648882097279771,0.8617049281037259,0.8617047412055948,0.867657852054837,0.8615922300102339,True,contradita,modelos_opt_2_7b_2026-09-15,101,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,model_prefill,confirmed
facebook/opt-2.7b,model_prefill,blocks_int8_dynamic,9,1.267074850143965,1.3051911522214084,0.9068451712091542,1.588328437155911,0.53286701975907,0.5259447574589747,0.5259441167995668,0.5455897877898983,0.5257371256444419,True,mista,modelos_opt_2_7b_2026-09-15,101,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,model_prefill,confirmed
facebook/opt-2.7b,model_prefill,blocks_int8_weight_only,9,0.011183499980741342,0.010321157424717554,0.009415440196898434,0.013656280162230435,0.5328564999768353,0.5259447574589747,0.5259441167995668,0.5454951097497855,0.5257371256444419,False,contradita,modelos_opt_2_7b_2026-09-15,101,model_performance_summary,int8_weight_only,B_physical_compression,model_prefill,not_confirmed
facebook/opt-2.7b,model_prefill,blocks_pruning_2to4,9,1.0369480407621086,1.060833809777428,0.9752658104548686,1.07759552696838,0.5921072441803692,0.5849294435849376,0.5849288826400664,0.6020859495384538,0.5847766900307015,True,mista,modelos_opt_2_7b_2026-09-15,101,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,model_prefill,confirmed
facebook/opt-2.7b,model_ttft,attention_int8_dynamic,9,0.9998428764937608,1.030307969432575,0.8480649209576105,1.130960516846896,0.8433971227056183,0.8420277990067081,0.8420277075107018,0.8420279210012184,0.8419432698063295,True,mista,modelos_opt_2_7b_2026-09-15,101,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,prefill_to_first_logit,confirmed
facebook/opt-2.7b,model_ttft,attention_int8_weight_only,9,0.032448136891316516,0.030269947594478593,0.027670251358339636,0.03947802131851002,0.8439034399026621,0.8420277990067081,0.8420277075107018,0.8420279210012184,0.8419432698063295,False,contradita,modelos_opt_2_7b_2026-09-15,101,model_performance_summary,int8_weight_only,B_physical_compression,prefill_to_first_logit,not_confirmed
facebook/opt-2.7b,model_ttft,attention_pruning_2to4,9,0.8597477930851966,0.8699966204638747,0.7973680307087191,0.9080250308753752,0.8629440873767517,0.8617048213048557,0.8617047412055948,0.8617049281037259,0.8615922300102339,True,contradita,modelos_opt_2_7b_2026-09-15,101,model_performance_summary,pruning_2to4,C_physical_acceleration_candidate,prefill_to_first_logit,confirmed
facebook/opt-2.7b,model_ttft,blocks_int8_dynamic,9,1.2642637049766192,1.3101992820032824,0.9149323993233661,1.5894319516679858,0.5300535673839991,0.5259443913680966,0.5259441167995668,0.5259447574589747,0.5257371256444419,True,mista,modelos_opt_2_7b_2026-09-15,101,model_performance_summary,int8_dynamic,C_physical_acceleration_candidate,prefill_to_first_logit,confirmed
facebook/opt-2.7b,model_ttft,blocks_int8_weight_only,9,0.011139974124277634,0.010294216633885949,0.009427061600633852,0.013731857132168662,0.5308636748992692,0.5259443913680966,0.5259441167995668,0.5259447574589747,0.5257371256444419,False,contradita,modelos_opt_2_7b_2026-09-15,101,model_performance_summary,int8_weight_only,B_physical_compression,prefill_to_first_logit,not_confirmed
